Frequency,Magnitude_Phase
Freq.,mag(V(input)/I(R1))
1.41253754462274e+04,"(5.93033098353504e+01dB,0.00000000000000e+00°)"
1.44543977074592e+04,"(5.92730795382159e+01dB,0.00000000000000e+00°)"
1.47910838816820e+04,"(5.92416484602365e+01dB,0.00000000000000e+00°)"
1.51356124843620e+04,"(5.92089780846538e+01dB,0.00000000000000e+00°)"
1.54881661891247e+04,"(5.91750293890721e+01dB,0.00000000000000e+00°)"
1.58489319246110e+04,"(5.91397628984445e+01dB,0.00000000000000e+00°)"
1.62181009735892e+04,"(5.91031387429528e+01dB,0.00000000000000e+00°)"
1.65958690743755e+04,"(5.90651167208311e+01dB,0.00000000000000e+00°)"
1.69824365246173e+04,"(5.90256563661566e+01dB,0.00000000000000e+00°)"
1.73780082874936e+04,"(5.89847170215906e+01dB,0.00000000000000e+00°)"
1.77827941003891e+04,"(5.89422579160153e+01dB,0.00000000000000e+00°)"
1.81970085860997e+04,"(5.88982382469694e+01dB,0.00000000000000e+00°)"
1.86208713666285e+04,"(5.88526172677402e+01dB,0.00000000000000e+00°)"
1.90546071796323e+04,"(5.88053543789206e+01dB,0.00000000000000e+00°)"
1.94984459975803e+04,"(5.87564092241927e+01dB,0.00000000000000e+00°)"
1.99526231496887e+04,"(5.87057417900448e+01dB,0.00000000000000e+00°)"
2.04173794466951e+04,"(5.86533125090775e+01dB,0.00000000000000e+00°)"
2.08929613085402e+04,"(5.85990823665016e+01dB,0.00000000000000e+00°)"
2.13796208950222e+04,"(5.85430130093780e+01dB,0.00000000000000e+00°)"
2.18776162394954e+04,"(5.84850668580966e+01dB,0.00000000000000e+00°)"
2.23872113856832e+04,"(5.84252072195428e+01dB,0.00000000000000e+00°)"
2.29086765276776e+04,"(5.83633984013534e+01dB,0.00000000000000e+00°)"
2.34422881531990e+04,"(5.82996058266184e+01dB,0.00000000000000e+00°)"
2.39883291901947e+04,"(5.82337961483491e+01dB,0.00000000000000e+00°)"
2.45470891568501e+04,"(5.81659373629975e+01dB,0.00000000000000e+00°)"
2.51188643150956e+04,"(5.80959989222856e+01dB,0.00000000000000e+00°)"
2.57039578276884e+04,"(5.80239518425852e+01dB,0.00000000000000e+00°)"
2.63026799189536e+04,"(5.79497688110725e+01dB,0.00000000000000e+00°)"
2.69153480392689e+04,"(5.78734242878846e+01dB,0.00000000000000e+00°)"
2.75422870333814e+04,"(5.77948946035041e+01dB,0.00000000000000e+00°)"
2.81838293126443e+04,"(5.77141580506189e+01dB,0.00000000000000e+00°)"
