Freq.	mag(V(input)/I(R1))
1.28824955169313e+003	9.45787418380934e+002,0.00000000000000e+000
1.31825673855640e+003	9.43541341976619e+002,0.00000000000000e+000
1.34896288259165e+003	9.41215290167579e+002,0.00000000000000e+000
1.38038426460288e+003	9.38807491532751e+002,0.00000000000000e+000
1.41253754462275e+003	9.36316224060760e+002,0.00000000000000e+000
1.44543977074592e+003	9.33739823744043e+002,0.00000000000000e+000
1.47910838816820e+003	9.31076693565207e+002,0.00000000000000e+000
1.51356124843620e+003	9.28325312850590e+002,0.00000000000000e+000
1.54881661891248e+003	9.25484246960234e+002,0.00000000000000e+000
1.58489319246111e+003	9.22552157277302e+002,0.00000000000000e+000
1.62181009735892e+003	9.19527811453700e+002,0.00000000000000e+000
1.65958690743755e+003	9.16410093862175e+002,0.00000000000000e+000
1.69824365246174e+003	9.13198016198493e+002,0.00000000000000e+000
1.73780082874937e+003	9.09890728170820e+002,0.00000000000000e+000
1.77827941003892e+003	9.06487528206904e+002,0.00000000000000e+000
1.81970085860998e+003	9.02987874103367e+002,0.00000000000000e+000
1.86208713666286e+003	8.99391393535588e+002,0.00000000000000e+000
1.90546071796324e+003	8.95697894341092e+002,0.00000000000000e+000
1.94984459975804e+003	8.91907374484634e+002,0.00000000000000e+000
1.99526231496887e+003	8.88020031608938e+002,0.00000000000000e+000
2.04173794466952e+003	8.84036272071961e+002,0.00000000000000e+000
2.08929613085403e+003	8.79956719369199e+002,0.00000000000000e+000
2.13796208950222e+003	8.75782221838648e+002,0.00000000000000e+000
2.18776162394954e+003	8.71513859546056e+002,0.00000000000000e+000
2.23872113856833e+003	8.67152950249823e+002,0.00000000000000e+000
2.29086765276776e+003	8.62701054347816e+002,0.00000000000000e+000
2.34422881531991e+003	8.58159978712892e+002,0.00000000000000e+000
2.39883291901948e+003	8.53531779330056e+002,0.00000000000000e+000
2.45470891568502e+003	8.48818762655718e+002,0.00000000000000e+000
2.51188643150957e+003	8.44023485628688e+002,0.00000000000000e+000
2.57039578276885e+003	8.39148754273202e+002,0.00000000000000e+000
2.63026799189537e+003	8.34197620846136e+002,0.00000000000000e+000
2.69153480392690e+003	8.29173379493983e+002,0.00000000000000e+000
2.75422870333815e+003	8.24079560399260e+002,0.00000000000000e+000
2.81838293126444e+003	8.18919922411406e+002,0.00000000000000e+000
2.88403150312659e+003	8.13698444172983e+002,0.00000000000000e+000
2.95120922666637e+003	8.08419313768357e+002,0.00000000000000e+000
3.01995172040200e+003	8.03086916938429e+002,0.00000000000000e+000
3.09029543251358e+003	7.97705823921385e+002,0.00000000000000e+000
3.16227766016836e+003	7.92280774995364e+002,0.00000000000000e+000
3.23593656929627e+003	7.86816664814153e+002,0.00000000000000e+000
3.31131121482590e+003	7.81318525641402e+002,0.00000000000000e+000
3.38844156139201e+003	7.75791509601914e+002,0.00000000000000e+000
3.46736850452530e+003	7.70240870080192e+002,0.00000000000000e+000
3.54813389233574e+003	7.64671942406491e+002,0.00000000000000e+000
3.63078054770100e+003	7.59090123978729e+002,0.00000000000000e+000
3.71535229097171e+003	7.53500853974827e+002,0.00000000000000e+000
3.80189396320559e+003	7.47909592814220e+002,0.00000000000000e+000
3.89045144994279e+003	7.42321801529259e+002,0.00000000000000e+000
3.98107170553495e+003	7.36742921207138e+002,0.00000000000000e+000
4.07380277804111e+003	7.31178352660810e+002,0.00000000000000e+000
4.16869383470333e+003	7.25633436483060e+002,0.00000000000000e+000
4.26579518801591e+003	7.20113433631889e+002,0.00000000000000e+000
4.36515832240164e+003	7.14623506687353e+002,0.00000000000000e+000
4.46683592150961e+003	7.09168701910614e+002,0.00000000000000e+000
4.57088189614873e+003	7.03753932225039e+002,0.00000000000000e+000
4.67735141287196e+003	6.98383961227151e+002,0.00000000000000e+000
4.78630092322636e+003	6.93063388322265e+002,0.00000000000000e+000
